ImgNum,KptDetector,TotalNumOfKpts,DetectionTime,DescriptorType,ExtractionTime,Matcher,Selector,NumOfMatches,MatchingTime,ttcLidar,kptMatches,ttcCamera
0,SHITOMASI,1723,11.9614,BRISK,17.5939
5,SHITOMASI,1806,12.0225,BRISK,18.4232,BF,KNN,238,79.5896,12.9259,30,13.6645
10,SHITOMASI,1874,12.0073,BRISK,19.1247,BF,KNN,243,82.903,14.0417,25,28.8838
15,SHITOMASI,1957,14.2206,BRISK,23.0566,BF,KNN,270,115.67,9.49192,19,12.7386
0,SHITOMASI,1723,12.1725,BRIEF,6.54839
5,SHITOMASI,1806,11.9114,BRIEF,6.54973,BF,KNN,367,38.5543,12.9259,40,13.8232
10,SHITOMASI,1874,15.0346,BRIEF,7.57226,BF,KNN,399,41.4412,14.0417,45,14.9768
15,SHITOMASI,1957,12.1491,BRIEF,7.2124,BF,KNN,415,41.797,9.49192,48,10.7417
0,SHITOMASI,1723,12.099,ORB,3.89036
5,SHITOMASI,1806,11.9314,ORB,3.65851,BF,KNN,322,36.7714,12.9259,30,15.5635
10,SHITOMASI,1874,12.1369,ORB,3.68258,BF,KNN,347,37.757,14.0417,30,14.5813
15,SHITOMASI,1957,11.9222,ORB,3.93453,BF,KNN,365,40.5525,9.49192,37,10.2309
0,SHITOMASI,1723,11.8139,FREAK,53.7321
5,SHITOMASI,1806,11.9077,FREAK,52.8302,BF,KNN,210,74.5654,12.9259,18,15.3424
10,SHITOMASI,1874,11.7725,FREAK,53.1846,BF,KNN,238,78.2396,14.0417,21,14.9768
15,SHITOMASI,1957,12.3594,FREAK,53.7272,BF,KNN,244,86.4952,9.49192,20,10.3909
0,SHITOMASI,1723,12.0506,SIFT,37.1688
5,SHITOMASI,1806,11.9599,SIFT,38.1173,BF,KNN,730,57.3856,12.9259,77,14.3849
10,SHITOMASI,1874,12.494,SIFT,38.775,BF,KNN,770,62.4638,14.0417,70,15.3578
15,SHITOMASI,1957,12.34,SIFT,40.3533,BF,KNN,843,65.6076,9.49192,71,11.8121
0,HARRIS,115,3.15724,BRISK,2.20946
5,HARRIS,241,6.43625,BRISK,3.36158,BF,KNN,35,0.924152,12.9259,5,32.0989
10,HARRIS,248,6.82992,BRISK,3.53161,BF,KNN,43,1.76564,14.0417,5,27.536
15,HARRIS,243,6.78132,BRISK,3.43045,BF,KNN,53,1.95817,9.49192,5,9.84603
0,HARRIS,115,3.39709,BRIEF,1.0219
5,HARRIS,241,6.00815,BRIEF,1.37085,BF,KNN,42,0.592605,12.9259,7,52.8594
10,HARRIS,248,6.63402,BRIEF,1.48124,BF,KNN,68,0.987039,14.0417,6,31.1539
15,HARRIS,243,6.7957,BRIEF,1.58069,BF,KNN,81,1.06128,9.49192,10,11.2578
0,HARRIS,115,3.22409,ORB,1.24136
5,HARRIS,241,6.19367,ORB,1.44215,BF,KNN,36,0.532843,12.9259,7,52.8594
10,HARRIS,248,6.66609,ORB,1.50376,BF,KNN,64,1.01651,14.0417,6,nan
15,HARRIS,243,6.80104,ORB,1.46953,BF,KNN,73,1.00092,9.49192,6,27.4929
0,HARRIS,115,3.01568,FREAK,39.6952
5,HARRIS,241,5.99772,FREAK,40.6961,BF,KNN,23,0.831749,12.9259,5,-inf
10,HARRIS,248,6.52277,FREAK,42.2214,BF,KNN,36,1.72471,14.0417,4,27.2709
15,HARRIS,243,6.67977,FREAK,41.8588,BF,KNN,50,1.77177,9.49192,5,nan
0,HARRIS,115,3.28611,SIFT,17.2716
5,HARRIS,241,6.12122,SIFT,20.6081,BF,KNN,69,0.593093,12.9259,9,52.8594
10,HARRIS,248,8.60827,SIFT,22.6988,BF,KNN,128,1.61988,14.0417,10,27.8521
15,HARRIS,243,6.99896,SIFT,20.9321,BF,KNN,140,1.23719,9.49192,14,10.484
0,FAST,5275,2.41831,BRISK,52.8134
5,FAST,5180,2.30166,BRISK,49.3171,BF,KNN,560,695.539,12.9259,63,17.7092
10,FAST,5331,2.44242,BRISK,53.3385,BF,KNN,593,707.255,14.0417,64,21.5964
15,FAST,5464,2.48272,BRISK,53.442,BF,KNN,649,749.993,9.49192,79,11.7294
0,FAST,5275,2.54265,BRIEF,23.0205
5,FAST,5180,2.51866,BRIEF,15.3646,BF,KNN,914,320.558,12.9259,90,14.8489
10,FAST,5331,2.4274,BRIEF,16.0929,BF,KNN,963,317.117,14.0417,107,13.704
15,FAST,5464,2.61565,BRIEF,16.2627,BF,KNN,983,331.906,9.49192,99,10.9341
0,FAST,5275,2.33185,ORB,8.62546
5,FAST,5180,2.39986,ORB,8.41892,BF,KNN,843,311.806,12.9259,80,16.4
10,FAST,5331,2.49371,ORB,8.41677,BF,KNN,816,310.22,14.0417,68,13.1671
15,FAST,5464,2.46932,ORB,8.48745,BF,KNN,850,320.282,9.49192,81,10.6803
0,FAST,5275,2.31363,FREAK,78.1619
5,FAST,5180,2.56992,FREAK,79.147,BF,KNN,490,633.831,12.9259,41,14.8199
10,FAST,5331,2.42181,FREAK,78.4911,BF,KNN,493,638.72,14.0417,50,17.5391
15,FAST,5464,2.84874,FREAK,81.4278,BF,KNN,530,667.119,9.49192,53,10.216
0,FAST,5275,2.26788,SIFT,224.919
5,FAST,5180,2.46714,SIFT,219.914,BF,KNN,1338,490.765,12.9259,152,14.606
10,FAST,5331,2.45177,SIFT,239.404,BF,KNN,1491,512.145,14.0417,154,15.4598
15,FAST,5464,2.54106,SIFT,231.815,BF,KNN,1572,520.529,9.49192,162,11.8803
0,BRISK,2896,44.6821,BRISK,30.5318
5,BRISK,2906,46.4036,BRISK,31.1563,BF,KNN,429,243.826,12.9259,36,21.5116
10,BRISK,3022,47.4773,BRISK,31.9014,BF,KNN,474,254.039,14.0417,42,13.6855
15,BRISK,3074,47.8346,BRISK,32.8086,BF,KNN,528,294.342,9.49192,59,14.2213
0,BRISK,2896,45.1524,BRIEF,10.8159
5,BRISK,2906,44.8427,BRIEF,10.4325,BF,KNN,520,126.389,12.9259,41,14.2761
10,BRISK,3022,47.8931,BRIEF,10.9355,BF,KNN,544,131.83,14.0417,47,14.8596
15,BRISK,3074,47.7675,BRIEF,10.959,BF,KNN,608,140.527,9.49192,56,10.556
0,BRISK,2896,44.2623,ORB,9.16175
5,BRISK,2906,44.1007,ORB,9.40147,BF,KNN,306,124.387,12.9259,24,13.8409
10,BRISK,3022,47.6356,ORB,9.20047,BF,KNN,333,128.862,14.0417,28,8.87037
15,BRISK,3074,48.0156,ORB,9.49656,BF,KNN,346,135.54,9.49192,38,10.9634
0,BRISK,2896,44.5079,FREAK,61.1917
5,BRISK,2906,47.0452,FREAK,62.1148,BF,KNN,349,171.241,12.9259,32,20.0088
10,BRISK,3022,47.8354,FREAK,60.2447,BF,KNN,374,175.906,14.0417,51,14.2375
15,BRISK,3074,48.762,FREAK,61.3406,BF,KNN,412,179.634,9.49192,28,13.9821
0,BRISK,2896,45.7622,SIFT,282.789
5,BRISK,2906,44.8842,SIFT,279.736,BF,KNN,843,153.477,12.9259,67,19.2958
10,BRISK,3022,46.8762,SIFT,275.601,BF,KNN,878,153.951,14.0417,64,13.9416
15,BRISK,3074,50.57,SIFT,284.892,BF,KNN,964,168.07,9.49192,87,12.9768
0,ORB,500,8.29978,BRISK,6.00078
5,ORB,500,8.09282,BRISK,5.62482,BF,KNN,89,4.89682,12.9259,13,13.805
10,ORB,500,8.42691,BRISK,5.68772,BF,KNN,100,4.82134,14.0417,16,19.4121
15,ORB,500,8.69981,BRISK,5.76828,BF,KNN,114,5.05767,9.49192,13,10.3781
0,ORB,500,7.89426,BRIEF,2.48751
5,ORB,500,8.07525,BRIEF,2.43395,BF,KNN,75,3.96767,12.9259,13,30.1307
10,ORB,500,8.23283,BRIEF,2.37911,BF,KNN,94,4.08378,14.0417,21,13.058
15,ORB,500,8.27928,BRIEF,2.59263,BF,KNN,101,4.19719,9.49192,11,10.6627
0,ORB,500,8.37509,ORB,5.75042
5,ORB,500,8.33688,ORB,5.67078,BF,KNN,82,3.95296,12.9259,9,20.1673
10,ORB,500,8.05397,ORB,5.73028,BF,KNN,85,4.22852,14.0417,11,14.4395
15,ORB,500,8.24007,ORB,5.40724,BF,KNN,87,3.93644,9.49192,11,12.8835
0,ORB,500,7.96212,FREAK,41.2032
5,ORB,500,8.0276,FREAK,42.51,BF,KNN,31,0.859155,12.9259,8,27.3124
10,ORB,500,8.16045,FREAK,42.237,BF,KNN,41,1.11034,14.0417,8,nan
15,ORB,500,8.57472,FREAK,41.2276,BF,KNN,59,1.12149,9.49192,12,10.2543
0,ORB,500,8.21557,SIFT,133.882
5,ORB,500,7.75911,SIFT,134.943,BF,KNN,206,4.67466,12.9259,23,28.8221
10,ORB,500,8.45012,SIFT,136.822,BF,KNN,199,4.85683,14.0417,31,18.2162
15,ORB,500,8.31297,SIFT,136.018,BF,KNN,234,4.82419,9.49192,28,10.4995
0,AKAZE,1513,78.3691,BRISK,15.6806
5,AKAZE,1526,59.4026,BRISK,16.2348,BF,KNN,306,66.3331,12.9259,35,13.7505
10,AKAZE,1567,64.9071,BRISK,16.5932,BF,KNN,336,68.9979,14.0417,48,13.8619
15,AKAZE,1544,61.1462,BRISK,16.3987,BF,KNN,327,70.0624,9.49192,35,9.93555
0,AKAZE,1513,57.7972,BRIEF,6.1981
5,AKAZE,1526,61.3973,BRIEF,6.1671,BF,KNN,396,35.8468,12.9259,55,13.1086
10,AKAZE,1567,60.7725,BRIEF,6.07706,BF,KNN,373,36.7386,14.0417,50,13.1298
15,AKAZE,1544,58.1812,BRIEF,6.59629,BF,KNN,387,37.3339,9.49192,55,10.5814
0,AKAZE,1513,59.4296,ORB,5.43067
5,AKAZE,1526,59.5602,ORB,5.62613,BF,KNN,253,34.7237,12.9259,31,13.9702
10,AKAZE,1567,59.6249,ORB,5.43112,BF,KNN,226,36.7383,14.0417,35,13.3775
15,AKAZE,1544,61.0905,ORB,6.15913,BF,KNN,252,39.2063,9.49192,28,10.0324
0,AKAZE,1513,62.0876,FREAK,52.1856
5,AKAZE,1526,57.8548,FREAK,51.809,BF,KNN,240,66.954,12.9259,34,16.0642
10,AKAZE,1567,62.4015,FREAK,54.2335,BF,KNN,276,70.9658,14.0417,45,12.511
15,AKAZE,1544,68.6529,FREAK,52.1688,BF,KNN,241,71.2679,9.49192,33,10.1938
0,AKAZE,1513,59.0968,AKAZE,64.0522
5,AKAZE,1526,58.1276,AKAZE,62.4743,BF,KNN,404,66.0063,12.9259,57,13.393
10,AKAZE,1567,66.4862,AKAZE,74.5139,BF,KNN,378,67.3506,14.0417,64,13.362
15,AKAZE,1544,64.0076,AKAZE,69.9555,BF,KNN,431,69.8862,9.49192,64,11.681
0,AKAZE,1513,57.254,SIFT,69.0245
5,AKAZE,1526,68.6403,SIFT,86.3804,BF,KNN,649,47.9804,12.9259,86,13.7014
10,AKAZE,1567,59.0577,SIFT,106.259,BF,KNN,660,57.4232,14.0417,87,12.9396
15,AKAZE,1544,58.1019,SIFT,69.6036,BF,KNN,697,42.2816,9.49192,86,11.2959
0,SIFT,1890,101.322,BRISK,19.8396
5,SIFT,1875,96.7319,BRISK,18.5038,BF,KNN,293,92.6558,12.9259,35,13.2201
10,SIFT,2043,105.022,BRISK,20.2656,BF,KNN,266,97.8236,14.0417,34,13.2488
15,SIFT,2044,100.958,BRISK,20.4457,BF,KNN,272,107.389,9.49192,29,9.96674
0,SIFT,1890,98.6952,BRIEF,6.29554
5,SIFT,1875,105.622,BRIEF,6.49776,BF,KNN,320,44.8559,12.9259,35,14.4167
10,SIFT,2043,96.8258,BRIEF,6.80554,BF,KNN,303,44.8215,14.0417,41,13.8802
15,SIFT,2044,97.679,BRIEF,6.83659,BF,KNN,281,49.1756,9.49192,34,16.0595
0,SIFT,1890,99.6747,FREAK,54.1324
5,SIFT,1875,97.9013,FREAK,52.8488,BF,KNN,167,82.0683,12.9259,16,14.2658
10,SIFT,2043,99.642,FREAK,54.483,BF,KNN,177,85.8487,14.0417,22,13.7365
15,SIFT,2044,99.4484,FREAK,53.6226,BF,KNN,193,93.3598,9.49192,22,9.69714
0,SIFT,1890,96.1024,SIFT,115.358
5,SIFT,1875,97.1588,SIFT,117.645,BF,KNN,590,63.1805,12.9259,57,11.9773
10,SIFT,2043,99.1632,SIFT,118.273,BF,KNN,577,68.9858,14.0417,61,12.2644
15,SIFT,2044,97.2909,SIFT,117.699,BF,KNN,617,75.3861,9.49192,65,9.67525
